3586.77	3688.48
2947.8	3008.88
2372.29	2497.74
1849.7	2001.46
1887.65	2070.75
2206.95	2403.26
1903.79	2078.37
1951.56	2129.17
1991.5	2164.63
2031.6	2213.38
1868.21	2039.3
1866.18	2035.02
1837.85	1996.79
1959.77	2118.86
1940.25	2099.24
925.862	925.862
1032.51	1032.51
1148.44	1148.44
1272.83	1272.83
1425.05	1425.05
1490.19	1490.19
1328.12	1328.12
1392.15	1392.15
1450.39	1450.39
1515.58	1515.58
1282.76	1282.76
1239.36	1239.36
1160.63	1160.63
1317.95	1317.95
1320.08	1320.08
